Grapheme	Roundedness	Voicing	Place of articulation	Vowel closeness	Vowel height	Vowel fullness	Liquid	Coronal/dorsal	Oral	Obstruent	Sonorant	Continuant	Consonant	Language	Punctuation	Letter	Doubling	Strength	Can end sentence	Paired
<oov>																				unpaired
<pad>																				unpaired
<morpheme>																				opening
</morpheme>																				closing
<word>																				opening
</word>																				closing
<sentence>																				opening
</sentence>																				closing
a	unrounded	voiced		open	front	full			oral	sonorant		continuant	vowel	Yupik	sound	letter				
e	unrounded	voiced		mid	central	not full			oral	sonorant		continuant	vowel	Yupik	sound	letter				
i	unrounded	voiced		close	front	full			oral	sonorant		continuant	vowel	Yupik	sound	letter				
u	rounded	voiced		close	back	full			oral	sonorant		continuant	vowel	Yupik	sound	letter				
p	unrounded	unvoiced	labial						oral	obstruent		stop	consonant	Yupik	sound	letter				
t	unrounded	unvoiced	alveolar					coronal	oral	obstruent		stop	consonant	Yupik	sound	letter				
k	unrounded	unvoiced	velar					dorsal	oral	obstruent		stop	consonant	Yupik	sound	letter				
kw	rounded	unvoiced	velar					dorsal	oral	obstruent		stop	consonant	Yupik	sound	letter				
q	unrounded	unvoiced	uvular					dorsal	oral	obstruent		stop	consonant	Yupik	sound	letter				
qw	rounded	unvoiced	uvular					dorsal	oral	obstruent		stop	consonant	Yupik	sound	letter				
v	unrounded	voiced	labial						oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter				
l	unrounded	voiced	alveolar				lateral	coronal	oral	sonorant	approximant	continuant	consonant	Yupik	sound	letter	can be doubled			
z	unrounded	voiced	alveolar					coronal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter				
y	unrounded	voiced	palatal					dorsal	oral	sonorant	approximant	continuant	consonant	Yupik	sound	letter				
r	unrounded	voiced	retroflex				rhotic	coronal	oral	sonorant	approximant	continuant	consonant	Yupik	sound	letter	can be doubled			
g	unrounded	voiced	velar					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be doubled	strong		
w	rounded	voiced	velar					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter		strong		
gh	unrounded	voiced	uvular					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be doubled	weak		
gh*	unrounded	voiced	uvular					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be doubled	strong		
ghw	rounded	voiced	uvular					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be doubled	strong		
f	unrounded	unvoiced	labial						oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter				
ll	unrounded	unvoiced	alveolar				lateral	coronal	oral	sonorant	approximant	continuant	consonant	Yupik	sound	letter	can be undoubled			
s	unrounded	unvoiced	alveolar					coronal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter				
rr	unrounded	unvoiced	retroflex				rhotic	coronal	oral	sonorant	approximant	continuant	consonant	Yupik	sound	letter	can be undoubled			
gg	unrounded	unvoiced	velar					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be undoubled	strong		
wh	rounded	unvoiced	velar					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter		strong		
ghh	unrounded	unvoiced	uvular					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be undoubled	weak		
ghh*	unrounded	unvoiced	uvular					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be undoubled	strong		
ghhw	rounded	unvoiced	uvular					dorsal	oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter	can be undoubled	strong		
h	unrounded	unvoiced	glottal						oral	obstruent	fricative	continuant	consonant	Yupik	sound	letter				
m	unrounded	voiced	labial						nasal	sonorant		stop	consonant	Yupik	sound	letter	can be doubled			
n	unrounded	voiced	alveolar					coronal	nasal	sonorant		stop	consonant	Yupik	sound	letter	can be doubled			
ng	unrounded	voiced	velar					dorsal	nasal	sonorant		stop	consonant	Yupik	sound	letter	can be doubled			
ngw	rounded	voiced	velar					dorsal	nasal	sonorant		stop	consonant	Yupik	sound	letter	can be doubled			
mm	unrounded	unvoiced	labial						nasal	sonorant		stop	consonant	Yupik	sound	letter	can be undoubled			
nn	unrounded	unvoiced	alveolar					coronal	nasal	sonorant		stop	consonant	Yupik	sound	letter	can be undoubled			
ngng	unrounded	unvoiced	velar					dorsal	nasal	sonorant		stop	consonant	Yupik	sound	letter	can be undoubled			
ngngw	rounded	unvoiced	velar					dorsal	nasal	sonorant		stop	consonant	Yupik	sound	letter	can be undoubled			
!														Yupik	punctuation	non-letter			terminal	unpaired
$														Yupik	punctuation	non-letter				unpaired
(														Yupik	punctuation	non-letter				opening
)														Yupik	punctuation	non-letter				closing
,														Yupik	punctuation	non-letter				unpaired
-														Yupik	punctuation	non-letter				unpaired
.														Yupik	punctuation	non-letter			terminal	unpaired
/														Yupik	punctuation	non-letter				unpaired
:														Yupik	punctuation	non-letter				unpaired
;														Yupik	punctuation	non-letter				unpaired
?														Yupik	punctuation	non-letter			terminal	unpaired
ʼ														Yupik	punctuation	letter				unpaired
‘														Yupik	punctuation	non-letter				opening
’														Yupik	punctuation	non-letter				closing
“														Yupik	punctuation	non-letter				opening
”														Yupik	punctuation	non-letter				closing
